p_name,m_name
コラッタ,10まんボルト
ラッタ,10まんボルト
ピカチュウ,10まんボルト
アローラライチュウ,10まんボルト
ライチュウ,10まんボルト
ニドラン♀,10まんボルト
ニドリーナ,10まんボルト
ニドクイン,10まんボルト
ニドラン♂,10まんボルト
ニドリーノ,10まんボルト
ニドキング,10まんボルト
ピッピ,10まんボルト
ピクシー,10まんボルト
プリン,10まんボルト
プクリン,10まんボルト
アローラニャース,10まんボルト
ニャース,10まんボルト
アローラペルシアン,10まんボルト
ペルシアン,10まんボルト
マンキー,10まんボルト
オコリザル,10まんボルト
アローライシツブテ,10まんボルト
ゴローン,10まんボルト
ゴローニャ,10まんボルト
コイル,10まんボルト
レアコイル,10まんボルト
ベトベター,10まんボルト
ベトベトン,10まんボルト
ゴース,10まんボルト
ゴースト,10まんボルト
ゲンガー,10まんボルト
ビリリダマ,10まんボルト
マルマイン,10まんボルト
アローラガラガラ,10まんボルト
ベロリンガ,10まんボルト
ドガース,10まんボルト
マタドガス,10まんボルト
サイホーン,10まんボルト
サイドン,10まんボルト
ラッキー,10まんボルト
ガルーラ,10まんボルト
ヒトデマン,10まんボルト
スターミー,10まんボルト
バリヤード,10まんボルト
エレブー,10まんボルト
ケンタロス,10まんボルト
ギャラドス,10まんボルト
ラプラス,10まんボルト
サンダース,10まんボルト
ポリゴン,10まんボルト
カビゴン,10まんボルト
サンダー,10まんボルト
ミニリュウ,10まんボルト
ハクリュー,10まんボルト
カイリュー,10まんボルト
ミュウツー,10まんボルト
ミュウ,10まんボルト
オタチ,10まんボルト
オオタチ,10まんボルト
チョンチー,10まんボルト
ランターン,10まんボルト
ピチュー,10まんボルト
メリープ,10まんボルト
モココ,10まんボルト
デンリュウ,10まんボルト
エイパム,10まんボルト
ムウマ,10まんボルト
キリンリキ,10まんボルト
ノコッチ,10まんボルト
ブルー,10まんボルト
グランブル,10まんボルト
ポリゴン2,10まんボルト
オドシシ,10まんボルト
エレキッド,10まんボルト
ミルタンク,10まんボルト
ハピナス,10まんボルト
ライコウ,10まんボルト
バンギラス,10まんボルト
ルギア,10まんボルト
ホウオウ,10まんボルト
ジグザグマ,10まんボルト
マッスグマ,10まんボルト
ラルトス,10まんボルト
キルリア,10まんボルト
サーナイト,10まんボルト
ナマケロ,10まんボルト
ヤルキモノ,10まんボルト
ケッキング,10まんボルト
ノズパス,10まんボルト
エネコ,10まんボルト
エネコロロ,10まんボルト
ボスゴドラ,10まんボルト
ラクライ,10まんボルト
ライボルト,10まんボルト
プラスル,10まんボルト
マイナン,10まんボルト
バルビート,10まんボルト
イルミーゼ,10まんボルト
ザングース,10まんボルト
ポワルン,10まんボルト
カクレオン,10まんボルト
カゲボウズ,10まんボルト
ジュペッタ,10まんボルト
アブソル,10まんボルト
レジロック,10まんボルト
レジアイス,10まんボルト
レジスチル,10まんボルト
ラティアス,10まんボルト
ラティオス,10まんボルト
カイオーガ,10まんボルト
グラードン,10まんボルト
レックウザ,10まんボルト
ジラーチ,10まんボルト
デオキシス,10まんボルト
ビッパ,10まんボルト
ビーダル,10まんボルト
コリンク,10まんボルト
ルクシオ,10まんボルト
レントラー,10まんボルト
ズガイドス,10まんボルト
ラムパルド,10まんボルト
タテトプス,10まんボルト
トリデプス,10まんボルト
パチリス,10まんボルト
エテボース,10まんボルト
フワンテ,10まんボルト
フワライド,10まんボルト
ミミロル,10まんボルト
ミミロップ,10まんボルト
ムウマージ,10まんボルト
ニャルマー,10まんボルト
ブニャット,10まんボルト
マネネ,10まんボルト
ゴンベ,10まんボルト
ジバコイル,10まんボルト
ベロベルト,10まんボルト
ドサイドン,10まんボルト
エレキブル,10まんボルト
ブーバーン,10まんボルト
ポリゴンZ,10まんボルト
エルレイド,10まんボルト
ダイノーズ,10まんボルト
ユキメノコ,10まんボルト
ユクシー,10まんボルト
エムリット,10まんボルト
アグノム,10まんボルト
ディアルガ,10まんボルト
パルキア,10まんボルト
レジギガス,10まんボルト
ギラティナ（アナザーフォルム）,10まんボルト
ギラティナ（オリジンフォルム）,10まんボルト
ダークライ,10まんボルト
アルセウス,10まんボルト
ビクティニ,10まんボルト
ミネズミ,10まんボルト
ミルホッグ,10まんボルト
ヨーテリー,10まんボルト
ハーデリア,10まんボルト
ムーランド,10まんボルト
シママ,10まんボルト
ゼブライカ,10まんボルト
タブンネ,10まんボルト
ダストダス,10まんボルト
チラーミィ,10まんボルト
チラチーノ,10まんボルト
ゴチム,10まんボルト
ゴチミル,10まんボルト
ゴチルゼル,10まんボルト
エモンガ,10まんボルト
バチュル,10まんボルト
デンチュラ,10まんボルト
テッシード,10まんボルト
ナットレイ,10まんボルト
ギアル,10まんボルト
ギギアル,10まんボルト
ギギギアル,10まんボルト
シビビール,10まんボルト
シビルドン,10まんボルト
リグレー,10まんボルト
オーベム,10まんボルト
マッギョ,10まんボルト
ゴルーグ,10まんボルト
ボルトロス（けしんフォルム）,10まんボルト
ボルトロス（れいじゅうフォルム）,10まんボルト
ゼクロム,10まんボルト
メロエッタ(ステップフォルム),10まんボルト
メロエッタ（ボイスフォルム),10まんボルト
ゲノセクト,10まんボルト
ニャスパー,10まんボルト
ニャオニクス,10まんボルト
シュシュプ,10まんボルト
フレフワン,10まんボルト
ペロッパフ,10まんボルト
ペロリーム,10まんボルト
マーイーカ,10まんボルト
カラマネロ,10まんボルト
クズモー,10まんボルト
ドラミドロ,10まんボルト
エリキテル,10まんボルト
エレザード,10まんボルト
アマルス,10まんボルト
アマルルガ,10まんボルト
デデンネ,10まんボルト
ヌメラ,10まんボルト
ヌメイル,10まんボルト
ヌメルゴン,10まんボルト
ゼルネアス,10まんボルト
アゴジムシ,10まんボルト
デンヂムシ,10まんボルト
クワガノン,10まんボルト
ヤレユータン,10まんボルト
シルヴァディ,10まんボルト
トゲデマル,10まんボルト
ミミッキュ,10まんボルト
ジジーロン,10まんボルト
カプ・コケコ,10まんボルト
カプ・テテフ,10まんボルト
ソルガレオ,10まんボルト
ルナアーラ,10まんボルト
ウツロイド,10まんボルト
デンジュモク,10まんボルト
マギアナ,10まんボルト
アーゴヨン,10まんボルト
レシラム,あおいほのお
パルキア,あくうせつだん
カメックス,あくのはどう
バタフリー,あくのはどう
アローラコラッタ,あくのはどう
アローララッタ,あくのはどう
アーボ,あくのはどう
アーボック,あくのはどう
アローラロコン,あくのはどう
ロコン,あくのはどう
アローラキュウコン,あくのはどう
キュウコン,あくのはどう
アローラニャース,あくのはどう
ニャース,あくのはどう
アローラペルシアン,あくのはどう
ペルシアン,あくのはどう
アローラベトベトン,あくのはどう
ベトベトン,あくのはどう
ゴース,あくのはどう
ゴースト,あくのはどう
ゲンガー,あくのはどう
アローラガラガラ,あくのはどう
ドガース,あくのはどう
マタドガス,あくのはどう
ギャラドス,あくのはどう
クロバット,あくのはどう
ブラッキー,あくのはどう
ヤミカラス,あくのはどう
ムウマ,あくのはどう
グライガー,あくのはどう
ハガネール,あくのはどう
ニューラ,あくのはどう
エアームド,あくのはどう
デルビル,あくのはどう
ヘルガー,あくのはどう
ヨーギラス,あくのはどう
サナギラス,あくのはどう
バンギラス,あくのはどう
ポチエナ,あくのはどう
グラエナ,あくのはどう
コノハナ,あくのはどう
ダーテング,あくのはどう
ヤミラミ,あくのはどう
クチート,あくのはどう
ボスゴドラ,あくのはどう
キバニア,あくのはどう
サメハダー,あくのはどう
サボネア,あくのはどう
ノクタス,あくのはどう
ハブネーク,あくのはどう
シザリガー,あくのはどう
カゲボウズ,あくのはどう
ジュペッタ,あくのはどう
ヨマワル,あくのはどう
サマヨール,あくのはどう
