p_name,m_name,m_type,m_tech,m_power,m_acc,m_pp
ピィ,いびき,ノーマル,特殊,50,100,15
ピィ,ずつき,ノーマル,物理,70,100,15
ピィ,はたく,ノーマル,物理,40,100,35
ピィ,いばる,ノーマル,変化,0,85,15
ピィ,うたう,ノーマル,変化,0,55,15
ピィ,さわぐ,ノーマル,特殊,90,100,10
ピィ,ねごと,ノーマル,変化,0,0,10
ピィ,ねむる,エスパー,変化,0,0,10
ピィ,はねる,ノーマル,変化,0,0,40
ピィ,まもる,ノーマル,変化,0,0,10
ピィ,ゆめくい,エスパー,特殊,100,100,15
ピィ,ほしがる,ノーマル,物理,60,100,25
ピィ,あまえる,フェアリー,変化,0,100,20
ピィ,あまごい,みず,変化,0,0,5
ピィ,うそなき,あく,変化,0,100,20
ピィ,くすぐる,ノーマル,変化,0,100,20
ピィ,てだすけ,ノーマル,変化,0,0,20
ピィ,でんじは,でんき,変化,0,90,20
ピィ,どくどく,どく,変化,0,90,10
ピィ,トリック,エスパー,変化,0,100,10
ピィ,ドわすれ,エスパー,変化,0,0,20
ピィ,なりきり,エスパー,変化,0,0,10
ピィ,まねっこ,ノーマル,変化,0,0,20
ピィ,みがわり,ノーマル,変化,0,0,10
ピィ,メロメロ,ノーマル,変化,0,100,15
ピィ,ものまね,ノーマル,変化,0,0,10
ピィ,りんしょう,ノーマル,特殊,60,100,15
ピィ,おんがえし,ノーマル,物理,0,100,20
ピィ,がむしゃら,ノーマル,物理,0,100,5
ピィ,からげんき,ノーマル,物理,70,100,20
ピィ,とっておき,ノーマル,物理,140,100,5
ピィ,なげつける,あく,物理,0,100,10
ピィ,くさむすび,くさ,特殊,0,100,20
ピィ,プレゼント,ノーマル,物理,0,90,15
ピィ,やつあたり,ノーマル,物理,0,100,20
ピィ,アンコール,ノーマル,変化,0,100,5
ピィ,じこあんじ,ノーマル,変化,0,0,10
ピィ,にほんばれ,ほのお,変化,0,0,5
ピィ,ねがいごと,ノーマル,変化,0,0,10
ピィ,はらだいこ,ノーマル,変化,0,0,10
ピィ,ゆびをふる,ノーマル,変化,0,0,10
ピィ,リサイクル,ノーマル,変化,0,0,10
ピィ,だいもんじ,ほのお,特殊,110,85,5
ピィ,でんげきは,でんき,特殊,60,0,20
ピィ,みずのはどう,みず,特殊,60,100,20
ピィ,エコーボイス,ノーマル,特殊,40,100,15
